Date,Match_Time,Team_1,Team1_Score,Team_2,Team2_Score,Team1_Bage_url,Team2_badge_url,Time_stamp
22/11/2022 (10:00 GMT),35',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:37:28 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),35',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:38:27 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),37',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:39:28 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),38',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:40:27 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),39',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:41:28 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),39',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:42:27 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),39',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:43:28 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),41',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:44:28 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),41',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:45:27 GMT+0500 (Pakistan Standard Time)
22/11/2022 (10:00 GMT),44',Argentina,1,Saudi Arabia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_ak48fkypnql8y4n69cvcq5ghc.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_9l4imoomrnyceg5u3kdxf5l5r.png,Tue Nov 22 2022 15:46:27 GMT+0500 (Pakistan Standard Time)
