Date,Match_Time,Team_1,Team1_Score,Team_2,Team2_Score,Team1_Bage_url,Team2_badge_url,Time_stamp
22/11/2022 (19:00 GMT),1',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:02:24 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),1',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:03:24 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),3',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:04:24 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),3',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:05:23 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),5',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:06:37 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),6',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:07:24 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),6',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:08:23 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),6',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:09:23 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),8',France,0,Australia,0,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:10:23 GMT+0500 (Pakistan Standard Time)
22/11/2022 (19:00 GMT),10',France,0,Australia,1,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_4pz87gsel7183b7kcadw1dwzv.png,https://secure.cache.images.core.optasports.com/soccer/teams/30x30/uuid_bl4fd8cxe6kjvjx8br82gkhnq.png,Wed Nov 23 2022 00:11:23 GMT+0500 (Pakistan Standard Time)
